DevType,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,OfficeStackAsyncHaveWorkedWith,OfficeStackSyncHaveWorkedWith,AISearchDevHaveWorkedWith,ConvertedCompYearly
Data engineer,HTML/CSS;Python;SQL,Microsoft SQL Server;Oracle,NA,WordPress,NA,NA,Unity 3D,Notepad++;Xcode,NA,Discord;Microsoft Teams;Slack;Zoom,ChatGPT,140000
Data engineer,Python;SQL,BigQuery;Oracle;SQLite,Google Cloud,NA,NA,NumPy;Pandas;Scikit-Learn,Pip;Terraform,Nano;PyCharm;Sublime Text,Jira;Markdown File,Google Meet;Slack;Zoom,NA,145000
Data scientist or machine learning specialist,Python;SQL,Elasticsearch;Microsoft SQL Server,Amazon Web Services (AWS);Databricks;Microsoft Azure,FastAPI,NA,Apache Spark;CUDA;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,APT;Docker;Homebrew;Pip,Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Azure Devops;Confluence;Jira;Miro,Discord;Microsoft Teams;Slack,Amazon Q;ChatGPT;Claude;GitHub Copilot;Visual Studio Intellicode,333000
Data scientist or machine learning specialist,SQL,Oracle,Amazon Web Services (AWS),NA,NA,NA,NA,NA,NA,Zoom,Bing AI;ChatGPT,250000
Data engineer,Bash/Shell (all shells);HTML/CSS;PowerShell;Python;R;SQL,Cosmos DB;Databricks SQL;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Snowflake;SQLite,Microsoft Azure,FastAPI;Flask,NA,NumPy;Pandas;Scikit-Learn;TensorFlow;Tidyverse,NA,Jupyter Notebook/JupyterLab;Notepad++;PyCharm;RStudio;Spyder;Vim;Visual Studio Code,NA,Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,ChatGPT;Codeium,29909
Data scientist or machine learning specialist,Python,Databricks SQL,Databricks,NA,NA,Apache Spark;NumPy;Pandas,Pip,IPython;Visual Studio Code,Jira,Microsoft Teams,NA,59073
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,PostgreSQL,Digital Ocean,FastAPI,CMake;doctest;Rasberry Pi,Apache Kafka;NumPy;Pandas;RabbitMQ;Scikit-Learn;Torch/PyTorch,Docker,IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,Confluence;GitHub Discussions;Markdown File;Trello;Wikis,Discord;Google Chat;Google Meet;Jitsi;Microsoft Teams;Whatsapp;Zoom,ChatGPT,100000
Data engineer,Python;SQL,BigQuery,Google Cloud,NA,NA,Pandas,NA,IntelliJ IDEA;Visual Studio Code,Azure Devops,Microsoft Teams,NA,175000
Data scientist or machine learning specialist,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL;VBA;Visual Basic (.Net),Microsoft SQL Server;Oracle;PostgreSQL,Microsoft Azure;VMware,Django;jQuery;Node.js;React,CMake;GNU GCC,CUDA;Hadoop;Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Docker;Gradle;Kubernetes;Maven (build tool);npm;Pacman;Pip;Terraform;Vite;Webpack,CLion;Code::Blocks;Eclipse;Emacs;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Kate;Nano;Neovim;Netbeans;Notepad++;PyCharm;RStudio;Spyder;Vim;Visual Studio;Visual Studio Code;VSCodium,Azure Devops;Wikis,Microsoft Teams;Zoom,Bing AI;ChatGPT;Google Gemini,106000
Data engineer,Python;SQL,Cosmos DB;Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure,NA,NA,Pandas,APT;Docker;Pip;Terraform,PyCharm;Visual Studio Code,NA,Signal;Whatsapp;Zoom,ChatGPT;Quora Poe,49493
Data engineer,Bash/Shell (all shells);Groovy;Python;SQL,Databricks SQL;Microsoft SQL Server;Snowflake,Amazon Web Services (AWS);Databricks,NA,NA,Apache Kafka;Apache Spark,Homebrew;Terraform,Vim;Visual Studio Code,Confluence;Miro,Slack,ChatGPT,112674
Data engineer,Python;SQL,BigQuery;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Snowflake;SQLite,Google Cloud;Heroku;Managed Hosting;Render,Flask,NA,Apache Kafka;Apache Spark;CUDA;Hugging Face Transformers;Pandas;RabbitMQ;Scikit-Learn;Spring Framework;Torch/PyTorch,Chocolatey;Docker;Gradle;Kubernetes;Maven (build tool);Pip;Terraform,Eclipse;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Vim;Visual Studio;Visual Studio Code,Azure Devops,Microsoft Teams;Zoom,Bing AI;ChatGPT;GitHub Copilot;Snyk Code;Visual Studio Intellicode,8374
Data or business analyst,Python;SQL,BigQuery;PostgreSQL,NA,NA,NA,NumPy;Pandas,NA,Jupyter Notebook/JupyterLab;Visual Studio Code,GitHub Discussions,Google Meet;Zoom,ChatGPT,247
Data or business analyst,C#;HTML/CSS;JavaScript;Python,Microsoft Access;SQLite,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;VMware,Django;Flask;Node.js;WordPress,NA,Opencv;Pandas;Qt;Ruff,Docker;npm;NuGet;Pip,Neovim;Notepad++;Qt Creator;Vim;Visual Studio;Visual Studio Code;VSCodium,Markdown File;Microsoft Planner,Microsoft Teams;Whatsapp,ChatGPT;GitHub Copilot,115000
Data engineer,Lua;Python;SQL,DuckDB;Microsoft SQL Server;PostgreSQL;SQLite,Microsoft Azure,NA,NA,Apache Spark;Ruff;Scikit-Learn,Pip,Neovim;Spyder;Visual Studio Code,Azure Devops,Discord;Signal,ChatGPT,170000
Data or business analyst,HTML/CSS;PowerShell;Python;R;SQL,Databricks SQL;MySQL;Redis,Amazon Web Services (AWS);Databricks,NA,NA,Apache Spark;Hadoop;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Pip,Jupyter Notebook/JupyterLab;RStudio;Vim,GitHub Discussions;Markdown File,Microsoft Teams;Slack;Zoom,ChatGPT,180000
"Developer, AI",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,MongoDB;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Django;FastAPI;Node.js;React,CMake;GNU GCC,Hugging Face Transformers;JAX;NumPy;Opencv;Pandas;Ruff;Scikit-Learn;Torch/PyTorch,Docker;Kubernetes;Make;Pacman;Pip,Jupyter Notebook/JupyterLab;Visual Studio Code,Clickup;Markdown File;Miro,Discord;Google Meet;Microsoft Teams;Signal;Slack;Whatsapp;Zoom,ChatGPT;Claude;GitHub Copilot;Google Gemini,126114
Data engineer,Go;Python;Scala;SQL,BigQuery;Databricks SQL;DuckDB;Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS);Databricks;Google Cloud;Microsoft Azure,Django;FastAPI;Flask,Rasberry Pi,Apache Spark;Pandas;Ruff;Scikit-Learn,Composer;Docker;Homebrew;Kubernetes;Make;Terraform,DataGrip;Fleet;Goland;IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Sublime Text;Vim;Visual Studio Code,Azure Devops;Confluence;Jira;Lucid;Markdown File,Discord;Microsoft Teams;Slack;Zoom,NA,236500
Data scientist or machine learning specialist,Python;SQL,Dynamodb;PostgreSQL,Amazon Web Services (AWS),NA,NA,CUDA;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,NA,IntelliJ IDEA,Confluence;Wikis,Slack,NA,270000
Data engineer,Python;SQL,BigQuery;PostgreSQL,Amazon Web Services (AWS);Google Cloud,NA,CMake,Apache Spark;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Make;Pip,Visual Studio Code,Jira;Notion,Google Meet;Slack;Zoom,ChatGPT;GitHub Copilot;Meta AI,112674
Data engineer,Python;SQL,Microsoft SQL Server;MySQL,Microsoft Azure,NA,NA,NA,Docker;Visual Studio Solution,Notepad++;Visual Studio,Azure Devops;Jira,Google Meet;Microsoft Teams;Slack,ChatGPT;Google Gemini,30000
Data engineer,Python;SQL,Oracle;PostgreSQL,NA,NA,NA,Pandas,Pip,Notepad++;PyCharm,Jira;Trello,Telegram;Whatsapp;Zoom,ChatGPT,54305
Data engineer,Java;Python;Rust;Scala,PostgreSQL,Amazon Web Services (AWS),NA,NA,Apache Kafka;Apache Spark,Docker,IntelliJ IDEA;Visual Studio Code,Confluence;Jira,Cisco Webex Teams;Microsoft Teams,ChatGPT,80555
Data scientist or machine learning specialist,HTML/CSS;Python;R;SQL,Microsoft SQL Server;MySQL;PostgreSQL,NA,Django;FastAPI,NA,Apache Spark;Hadoop;NumPy;Opencv;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,Homebrew;Pip,Android Studio;CLion;DataGrip;Eclipse;IPython;Jupyter Notebook/JupyterLab;PyCharm;RStudio;Sublime Text;Visual Studio;Visual Studio Code,Jira;Miro;Notion,Discord;Google Chat;Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom,Bing AI;Google Gemini;Tabnine,474
Data scientist or machine learning specialist,C;C#;C++;Go;HTML/CSS;JavaScript;Julia;MATLAB;Python;Rust;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,NA,CMake;Cargo;GNU GCC;LLVM's Clang,Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;Scikit-Learn;Tauri;Torch/PyTorch,APT;Docker;Kubernetes;Make;Pacman;Pip,Neovim;Vim;Visual Studio Code;VSCodium,Azure Devops;Confluence;Jira;Markdown File;Obsidian;Trello,Discord;Google Meet;Microsoft Teams;Rocketchat,Bing AI;ChatGPT;GitHub Copilot;Google Gemini,130000
"Developer, AI",Python;R;SQL,DuckDB;PostgreSQL,Amazon Web Services (AWS),NA,NA,Hugging Face Transformers;NumPy;Ruff;Tidyverse;Torch/PyTorch,Docker;Make;Pacman,Neovim;VSCodium,Jira;Microsoft Planner,Microsoft Teams,ChatGPT;Phind,61789
Data scientist or machine learning specialist,JavaScript;Python;R;SQL;TypeScript,BigQuery;Cassandra;Cloud Firestore;MongoDB;Redis;Supabase,Google Cloud;Supabase;Vercel,FastAPI;Next.js;Node.js;React;Vue.js,Arduino,Apache Spark;Hugging Face Transformers;JAX;Keras;mlflow;NumPy;Pandas;RabbitMQ;React Native;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Docker,IPython;Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code;Xcode,Jira;Notion;Obsidian,Google Chat;Google Meet;Slack,ChatGPT;Claude;GitHub Copilot;Google Gemini;Visual Studio Intellicode,50481
Data engineer,Bash/Shell (all shells);Scala,Elasticsearch;MySQL;PostgreSQL,Oracle Cloud Infrastructure (OCI),NA,NA,Apache Kafka,Chef;Docker;Pip;Terraform,IntelliJ IDEA;Neovim;Vim;Visual Studio Code,Confluence;GitHub Discussions;Jira;Markdown File,Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom,NA,166480
"Developer, AI",Bash/Shell (all shells);C++;Go;Python;Rust,Cassandra;DuckDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud,FastAPI,GNU GCC;LLVM's Clang,Apache Kafka;CUDA;JAX;Pandas;Ruff;Tauri;TensorFlow;Torch/PyTorch,Docker;Homebrew;Make;Pip,Helix;Neovim;Vim;Visual Studio Code,Confluence;GitHub Discussions;Jira;Markdown File;Stack Overflow for Teams;Wikis,Slack;Zoom,Amazon Q;ChatGPT;GitHub Copilot;Google Gemini,254776
Data scientist or machine learning specialist,Bash/Shell (all shells);Java;JavaScript;Python;Rust;SQL,Microsoft SQL Server;PostgreSQL;SQLite,Microsoft Azure,FastAPI;React,NA,Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Vite,Vim;Visual Studio Code,Azure Devops;Jira;Smartsheet,Discord;Microsoft Teams,Bing AI;ChatGPT;Perplexity AI,105000
Data engineer,Bash/Shell (all shells);Java;Python;Scala;SQL,Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,NA,NA,Apache Spark,Docker;Kubernetes;Maven (build tool);Pip,IntelliJ IDEA;Notepad++;PyCharm;Visual Studio Code,Confluence;Jira,Discord;Slack,NA,312580
Data engineer,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,Cosmos DB;Databricks SQL;Dynamodb;Microsoft SQL Server;MySQL;PostgreSQL;Snowflake,Amazon Web Services (AWS);Microsoft Azure;Render,Django;Express;FastAPI;Flask;Node.js;React,NA,Apache Spark;NumPy;Pandas,Gradle;npm;Pip,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code,Confluence;Jira;Miro;Trello,Microsoft Teams,ChatGPT;Claude;GitHub Copilot,130000
Data engineer,Bash/Shell (all shells);JavaScript;Python,BigQuery;Microsoft SQL Server;PostgreSQL,Digital Ocean,Django,NA,NumPy;Pandas,Docker;npm,PyCharm,Jira,Google Chat;Google Meet;Microsoft Teams;Slack;Zoom,ChatGPT;Phind,100000
Data scientist or machine learning specialist,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;MATLAB;PowerShell;Python,MongoDB;SQLite,Amazon Web Services (AWS);PythonAnywhere;VMware,Flask;Node.js;React,Arduino;GNU GCC;LLVM's Clang;Rasberry Pi,CUDA;Hugging Face Transformers;Keras;NumPy;OpenCL;Opencv;OpenGL;Pandas;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Docker;Kubernetes;Make;Maven (build tool);Pip,Emacs;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;RStudio;Vim;Visual Studio Code,Jira;Notion,Discord;Microsoft Teams;Slack;Zoom,ChatGPT,125000
Data engineer,Go;HTML/CSS;Java;JavaScript;Python;Scala;SQL;TypeScript,BigQuery;Cloud Firestore;Presto;Snowflake,Amazon Web Services (AWS);Firebase;Google Cloud;Hetzner;Microsoft Azure,Astro;Vue.js,Arduino,Apache Kafka;Apache Spark;Hadoop;Spring Framework,Ansible;Docker;Kubernetes;Maven (build tool);npm;Pip;Terraform;Vite,IntelliJ IDEA;Neovim;Notepad++;Visual Studio,Confluence;Jira;Markdown File,Discord;Google Chat;Google Meet;Matrix;Microsoft Teams;Slack;Zoom,GitHub Copilot;Google Gemini,182591
Data engineer,C;C++;Python;Rust,Oracle;PostgreSQL;Snowflake,OpenShift,NA,NA,mlflow,Docker;Make;Visual Studio Solution,CLion;Visual Studio Code,Confluence,Discord;Microsoft Teams,ChatGPT,122559
Data engineer,PowerShell;Python;SQL,Databricks SQL;Microsoft SQL Server;MySQL;Snowflake,Amazon Web Services (AWS);Databricks,NA,Cargo,Ruff,Docker,Notepad++;Visual Studio Code,Confluence;Jira;Obsidian,Discord;Slack,ChatGPT;GitHub Copilot,160000
Data scientist or machine learning specialist,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,PostgreSQL,Amazon Web Services (AWS);Fly.io,Flask;Phoenix,NA,Apache Spark;NumPy;Pandas;Scikit-Learn,Docker;Homebrew;npm;Pip;Terraform;Webpack,IPython;Jupyter Notebook/JupyterLab;Nano;Visual Studio Code,Confluence;Jira;Trello,Discord;Google Meet;Slack,NA,140000
"Developer, AI",Bash/Shell (all shells);C#;Kotlin;Python;Rust;TypeScript,NA,Microsoft Azure,FastAPI;Node.js,Cargo;LLVM's Clang,mlflow;Ruff,NA,Helix;Jupyter Notebook/JupyterLab;Visual Studio Code,Azure Devops;Markdown File;Obsidian;Stack Overflow for Teams,Discord;IRC;Microsoft Teams,NA,130000
"Developer, AI",Bash/Shell (all shells);HTML/CSS;JavaScript;Python,NA,NA,Flask;jQuery,Rasberry Pi,Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Docker,IPython;Jupyter Notebook/JupyterLab;Notepad++;Sublime Text;Visual Studio Code,Markdown File,Discord;Microsoft Teams;Telegram;Whatsapp,ChatGPT,51555
Data engineer,Bash/Shell (all shells);Groovy;Java;Python;Rust;Scala;SQL,Databricks SQL;Dynamodb;Oracle;PostgreSQL,Amazon Web Services (AWS),NA,NA,Apache Spark;Hadoop,Docker;Terraform,Helix;Vim;Visual Studio Code,Confluence;GitHub Discussions;Jira;Markdown File,Discord;Microsoft Teams;Slack;Zoom,NA,85886
Data or business analyst,Bash/Shell (all shells);C#;HTML/CSS;Lua;PowerShell;Python;SQL,MariaDB;SQLite,NA,Flask,NA,.NET (5+) ;.NET Framework (1.0 - 4.8),Pip;Visual Studio Solution,Vim;Visual Studio;Visual Studio Code,Azure Devops,Matrix;Microsoft Teams,ChatGPT;Visual Studio Intellicode,120000
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,BigQuery;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Google Cloud;Heroku,FastAPI,NA,Apache Spark;CUDA;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Docker;Pip,Jupyter Notebook/JupyterLab;Visual Studio Code,Confluence;Jira;Markdown File;Miro,Mattermost;Microsoft Teams,ChatGPT;Google Gemini;Visual Studio Intellicode,69814
Data scientist or machine learning specialist,Bash/Shell (all shells);C++;MATLAB;Python,InfluxDB;PostgreSQL,NA,NA,GNU GCC,CUDA;JAX;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,APT;Docker;Pacman;Pip,CLion;IPython;Jupyter Notebook/JupyterLab;Nano;PyCharm;Visual Studio Code,GitHub Discussions;Obsidian,Microsoft Teams;Whatsapp,WolframAlpha;Tabnine,19333
Data engineer,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,DuckDB;Dynamodb;Microsoft SQL Server;Oracle;Snowflake,Amazon Web Services (AWS),React,NA,Pandas,APT;Homebrew;npm;Pip;Webpack,Visual Studio Code,Confluence;Jira;Lucid;Markdown File,Microsoft Teams,ChatGPT;GitHub Copilot,100000
Data or business analyst,NA,NA,NA,NA,NA,NA,NA,Jupyter Notebook/JupyterLab,NA,Microsoft Teams,ChatGPT,45860
"Developer, AI",Bash/Shell (all shells);HTML/CSS;Lua;Python;Ruby;Rust;TypeScript,Cockroachdb;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Vercel,Next.js;Node.js;React;Ruby on Rails,Cargo,Apache Kafka;NumPy;Pandas,Bun;Docker;npm;Pacman;Pip;pnpm,Neovim,Confluence;Jira;Miro;Notion;Obsidian,Discord;Google Meet;Slack;Whatsapp,ChatGPT;GitHub Copilot,161109
"Developer, AI",HTML/CSS;JavaScript;Python;SQL;VBA,MySQL;SQLite,Google Cloud;Microsoft Azure,Django;Flask,Rasberry Pi,NumPy;Pandas;Qt,Docker;Pip,Jupyter Notebook/JupyterLab;Qt Creator;Visual Studio Code,Jira;Miro,Microsoft Teams,Bing AI;ChatGPT,139628
Data engineer,C;C++;Elixir;Go;HTML/CSS;Java;JavaScript;PowerShell;Rust;Scala,SQLite,Oracle Cloud Infrastructure (OCI),Node.js;Vue.js,Cargo;GNU GCC;LLVM's Clang;SCons,NA,Make;Maven (build tool);npm;Webpack,Helix;Vim,Markdown File;Wikis,Matrix,Bing AI;ChatGPT;Google Gemini;You.com,1
Data engineer,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL,PostgreSQL;Redis;Snowflake,Amazon Web Services (AWS),Django;Htmx;jQuery,NA,Pandas,Docker;Make,Visual Studio Code,Confluence;Jira;Markdown File;Obsidian,Microsoft Teams;Slack;Telegram;Whatsapp,ChatGPT;Google Gemini,80863
"Developer, AI",Python;SQL;TypeScript,Dynamodb;SQLite,Amazon Web Services (AWS),NA,NA,Pandas,Docker;Homebrew;npm,IntelliJ IDEA;Vim;Visual Studio Code,NA,Slack,Amazon Q;ChatGPT;Perplexity AI,130000
Data or business analyst,SQL,Databricks SQL;Microsoft SQL Server;Snowflake,NA,NA,NA,NA,NA,NA,NA,Microsoft Teams,ChatGPT,122883
Data engineer,Java;Python;Rust,MongoDB,Amazon Web Services (AWS);Cloudflare,NA,NA,Apache Spark;OpenGL,NA,IntelliJ IDEA;PyCharm,Jira,Discord;Slack;Zoom,ChatGPT;GitHub Copilot,89172
Data engineer,C#;Python;Scala;SQL,Microsoft SQL Server,Microsoft Azure,NA,NA,NA,NA,Notepad++;Visual Studio;Visual Studio Code,Azure Devops;Jira,Microsoft Teams,ChatGPT;GitHub Copilot,79279
Data engineer,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Lua;MATLAB;PowerShell;Python;Rust;SQL;TypeScript;Zig,Couch DB;DuckDB;InfluxDB;MongoDB;PostgreSQL;Presto;SQLite,Amazon Web Services (AWS);Microsoft Azure;VMware,FastAPI;Flask;NestJS;Node.js;React;Spring Boot,CMake;Cargo;GNU GCC;LLVM's Clang;MSVC;Rasberry Pi,Apache Kafka;Apache Spark;CUDA;Hadoop;NumPy;Pandas;RabbitMQ;Ruff;Spring Framework;Torch/PyTorch,Ansible;APT;Docker;Kubernetes;Make;Maven (build tool);npm;Pacman;Pip;Podman,Jupyter Notebook/JupyterLab;Neovim;Visual Studio Code,Airtable;Confluence;Jira;Markdown File;Obsidian,Discord;Google Chat;Matrix;Microsoft Teams;Skype;Slack;Whatsapp;Zoom,Bing AI;ChatGPT,148000
Data engineer,Bash/Shell (all shells);Python;SQL,MySQL;PostgreSQL,Amazon Web Services (AWS);Heroku;Microsoft Azure,Flask,NA,Apache Spark;Hadoop;Pandas;Scikit-Learn,APT;Docker;Homebrew;Maven (build tool);Pip;Yarn,Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,Confluence;Jira;Markdown File;Obsidian;Wikis,Discord;Microsoft Teams;Zoom,ChatGPT;Claude;GitHub Copilot;WolframAlpha,120000
"Developer, AI",Bash/Shell (all shells);Lisp;Python,SQLite,Amazon Web Services (AWS),Flask,CMake,Keras;TensorFlow;Torch/PyTorch,Docker;Make;Pacman,Emacs,NA,Microsoft Teams,NA,130000
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,DuckDB;PostgreSQL;Redis,Amazon Web Services (AWS),FastAPI,NA,mlflow;NumPy;Opencv;Pandas;Ruff;TensorFlow;Torch/PyTorch,Docker;Pip,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Jira;Obsidian,Google Meet;Microsoft Teams;Slack;Zoom,ChatGPT,185000
Data engineer,C#;Go;SQL,Microsoft SQL Server,Microsoft Azure,NA,NA,.NET (5+) ;.NET Framework (1.0 - 4.8),Homebrew;Make;NuGet,BBEdit;DataGrip;Notepad++;Visual Studio;Visual Studio Code,Jira;Markdown File,Microsoft Teams;Zoom,ChatGPT,120000
Data engineer,Bash/Shell (all shells);Python;SQL,Dynamodb;PostgreSQL;Snowflake,"Amazon Web Services (AWS);Linode, now Akamai;Microsoft Azure",Django;FastAPI,NA,NA,Docker;Homebrew;Kubernetes;Pip;Terraform,DataGrip;Emacs;PyCharm,Confluence;Jira;Miro,Slack,Bing AI;Tabnine,180000
Data engineer,Bash/Shell (all shells);PowerShell;Python;SQL,IBM DB2;Microsoft SQL Server;Oracle,Microsoft Azure,NA,NA,Apache Spark,Docker,Notepad++;Visual Studio Code,Azure Devops;Miro,Microsoft Teams,Bing AI;ChatGPT,95796
Data or business analyst,NA,NA,NA,NA,NA,NA,NA,Visual Studio Code,Confluence;Jira,Microsoft Teams,NA,77958
Data scientist or machine learning specialist,Bash/Shell (all shells);Julia;Perl;Python;R;Scala;SQL,BigQuery;Microsoft SQL Server;MySQL,Google Cloud,NA,NA,NumPy;Pandas;Scikit-Learn,Make,Emacs;IPython;RStudio;Vim,Jira,Cisco Webex Teams;Skype;Slack;Zoom,NA,200000
Data engineer,C#;JavaScript;Python,Cosmos DB;Microsoft SQL Server;Snowflake,Microsoft Azure,NA,NA,.NET (5+) ;Pandas,Docker;Pip;Terraform;Visual Studio Solution,Neovim;Rider;Visual Studio;Visual Studio Code,Azure Devops;Confluence;Obsidian,Microsoft Teams,Bing AI;ChatGPT;Perplexity AI,73748
Data engineer,Bash/Shell (all shells);C#;PowerShell;Python;Scala,Databricks SQL;Microsoft SQL Server;MongoDB;PostgreSQL,Microsoft Azure,Flask,NA,Apache Spark;NumPy;Pandas,Pip,IntelliJ IDEA;PyCharm;Visual Studio;Visual Studio Code,Azure Devops,Microsoft Teams,Bing AI,70000
Data scientist or machine learning specialist,Assembly;Bash/Shell (all shells);Python;SQL,Presto,Amazon Web Services (AWS),NA,NA,Apache Spark;Hadoop;NumPy;Pandas;Scikit-Learn,Homebrew,IPython;Jupyter Notebook/JupyterLab;Notepad++;Vim;Visual Studio Code,Confluence;GitHub Discussions;Jira,Microsoft Teams,ChatGPT;GitHub Copilot,29838
Data engineer,C#;PowerShell;R;SQL;VBA;Visual Basic (.Net),Microsoft SQL Server,NA,NA,NA,.NET Framework (1.0 - 4.8),NuGet,RStudio;Visual Studio;Visual Studio Code,Azure Devops,Microsoft Teams,ChatGPT,152000
"Developer, AI",Python,Cosmos DB,Microsoft Azure,NA,NA,NumPy;Pandas,Pip,Visual Studio Code,Azure Devops,Microsoft Teams,ChatGPT,60000
Data engineer,Bash/Shell (all shells);Python;SQL,BigQuery;DuckDB;Microsoft SQL Server;PostgreSQL,NA,FastAPI,NA,Hadoop;Hugging Face Transformers;mlflow;NumPy;Opencv;Pandas;Ruff;Torch/PyTorch,Docker;Homebrew;Make,Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,GitHub Discussions;Jira;Obsidian,Cisco Webex Teams;Google Meet;Microsoft Teams;Slack,ChatGPT,30884
"Developer, AI",Elixir,NA,NA,Phoenix,NA,NA,NA,Sublime Text,NA,NA,NA,200000
Data engineer,Bash/Shell (all shells);Java;Python;SQL,Oracle,Amazon Web Services (AWS),NA,NA,Apache Spark;NumPy;Pandas;Spring Framework,Docker;Make;Maven (build tool);Pip;Terraform,IntelliJ IDEA;Notepad++;Visual Studio Code,Jira;Lucid,Microsoft Teams;Symphony;Zoom,ChatGPT,127000
Data or business analyst,R;SQL,Snowflake,Databricks,NA,NA,Tidyverse,NA,IntelliJ IDEA;Notepad++;RStudio;RubyMine,Asana;Confluence;Jira;Lucid,Discord;Google Meet;Slack;Zoom,NA,150000
Data engineer,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud;Vercel,Express;Flask;Next.js;Node.js;React,NA,NA,APT;Chocolatey;Homebrew;Kubernetes;Make;npm;Pip;pnpm;Yarn,IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Vim;Visual Studio Code,Confluence;Jira;Notion,Google Meet;Slack,ChatGPT;GitHub Copilot;Google Gemini,77611
Data engineer,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Python;SQL;Zig,MariaDB;MySQL;PostgreSQL;Snowflake,Amazon Web Services (AWS),Django;Express;Node.js;React,NA,.NET (5+) ;Pandas;Ruff,Docker;Pacman;Pip,Neovim;Vim,Confluence;Jira,Discord;Google Chat;Google Meet;Slack;Zoom,ChatGPT,100000
Data engineer,PowerShell;SQL,Microsoft SQL Server,NA,NA,NA,NA,NA,Notepad++,NA,Cisco Webex Teams;Discord;Slack,Bing AI;ChatGPT,79962
